TID;INSTRUMENT;INDHOLD
1994M01;Statsgæld - I alt;0.000
1994M02;Statsgæld - I alt;0.000
1994M03;Statsgæld - I alt;0.000
1994M04;Statsgæld - I alt;0.000
1994M05;Statsgæld - I alt;0.000
1994M06;Statsgæld - I alt;0.000
1994M07;Statsgæld - I alt;0.000
1994M08;Statsgæld - I alt;0.000
1994M09;Statsgæld - I alt;0.000
1994M10;Statsgæld - I alt;0.000
1994M11;Statsgæld - I alt;0.000
1994M12;Statsgæld - I alt;0.000
1995M01;Statsgæld - I alt;554.500
1995M02;Statsgæld - I alt;539.000
1995M03;Statsgæld - I alt;549.600
1995M04;Statsgæld - I alt;570.400
1995M05;Statsgæld - I alt;558.400
1995M06;Statsgæld - I alt;572.200
1995M07;Statsgæld - I alt;584.500
1995M08;Statsgæld - I alt;565.600
1995M09;Statsgæld - I alt;578.300
1995M10;Statsgæld - I alt;596.800
1995M11;Statsgæld - I alt;573.500
1995M12;Statsgæld - I alt;576.500
1996M01;Statsgæld - I alt;586.600
1996M02;Statsgæld - I alt;564.200
1996M03;Statsgæld - I alt;569.000
1996M04;Statsgæld - I alt;591.200
1996M05;Statsgæld - I alt;574.200
1996M06;Statsgæld - I alt;591.100
1996M07;Statsgæld - I alt;605.300
1996M08;Statsgæld - I alt;584.100
1996M09;Statsgæld - I alt;595.500
1996M10;Statsgæld - I alt;618.200
1996M11;Statsgæld - I alt;590.400
1996M12;Statsgæld - I alt;599.000
1997M01;Statsgæld - I alt;608.700
1997M02;Statsgæld - I alt;581.800
1997M03;Statsgæld - I alt;583.000
1997M04;Statsgæld - I alt;605.400
1997M05;Statsgæld - I alt;585.200
1997M06;Statsgæld - I alt;600.400
1997M07;Statsgæld - I alt;613.400
1997M08;Statsgæld - I alt;587.700
1997M09;Statsgæld - I alt;600.600
1997M10;Statsgæld - I alt;623.300
1997M11;Statsgæld - I alt;590.100
1997M12;Statsgæld - I alt;599.900
1998M01;Statsgæld - I alt;593.100
1998M02;Statsgæld - I alt;562.600
1998M03;Statsgæld - I alt;564.200
1998M04;Statsgæld - I alt;574.600
1998M05;Statsgæld - I alt;547.000
1998M06;Statsgæld - I alt;565.500
1998M07;Statsgæld - I alt;578.600
1998M08;Statsgæld - I alt;551.000
1998M09;Statsgæld - I alt;564.200
1998M10;Statsgæld - I alt;582.300
1998M11;Statsgæld - I alt;555.200
1998M12;Statsgæld - I alt;567.100
1999M01;Statsgæld - I alt;578.000
1999M02;Statsgæld - I alt;544.600
1999M03;Statsgæld - I alt;543.700
1999M04;Statsgæld - I alt;552.000
1999M05;Statsgæld - I alt;552.700
1999M06;Statsgæld - I alt;557.200
1999M07;Statsgæld - I alt;560.700
1999M08;Statsgæld - I alt;560.300
1999M09;Statsgæld - I alt;560.100
1999M10;Statsgæld - I alt;569.400
1999M11;Statsgæld - I alt;567.000
1999M12;Statsgæld - I alt;560.500
2000M01;Statsgæld - I alt;560.500
2000M02;Statsgæld - I alt;552.300
2000M03;Statsgæld - I alt;532.100
2000M04;Statsgæld - I alt;538.400
2000M05;Statsgæld - I alt;538.400
2000M06;Statsgæld - I alt;542.500
2000M07;Statsgæld - I alt;543.000
2000M08;Statsgæld - I alt;541.500
2000M09;Statsgæld - I alt;541.000
2000M10;Statsgæld - I alt;548.200
2000M11;Statsgæld - I alt;540.700
2000M12;Statsgæld - I alt;535.000
2001M01;Statsgæld - I alt;532.300
2001M02;Statsgæld - I alt;515.500
2001M03;Statsgæld - I alt;505.400
2001M04;Statsgæld - I alt;515.800
2001M05;Statsgæld - I alt;513.600
2001M06;Statsgæld - I alt;514.100
2001M07;Statsgæld - I alt;515.600
2001M08;Statsgæld - I alt;514.600
2001M09;Statsgæld - I alt;508.900
2001M10;Statsgæld - I alt;517.000
2001M11;Statsgæld - I alt;497.200
2001M12;Statsgæld - I alt;513.500
2002M01;Statsgæld - I alt;512.300
2002M02;Statsgæld - I alt;508.600
2002M03;Statsgæld - I alt;500.400
2002M04;Statsgæld - I alt;512.700
2002M05;Statsgæld - I alt;510.400
2002M06;Statsgæld - I alt;511.600
2002M07;Statsgæld - I alt;527.400
2002M08;Statsgæld - I alt;510.500
2002M09;Statsgæld - I alt;508.100
2002M10;Statsgæld - I alt;518.100
2002M11;Statsgæld - I alt;506.600
2002M12;Statsgæld - I alt;520.600
2003M01;Statsgæld - I alt;519.300
2003M02;Statsgæld - I alt;514.400
2003M03;Statsgæld - I alt;501.500
2003M04;Statsgæld - I alt;515.800
2003M05;Statsgæld - I alt;509.700
2003M06;Statsgæld - I alt;507.900
2003M07;Statsgæld - I alt;525.500
2003M08;Statsgæld - I alt;512.300
2003M09;Statsgæld - I alt;510.900
2003M10;Statsgæld - I alt;517.700
2003M11;Statsgæld - I alt;508.700
2003M12;Statsgæld - I alt;515.300
2004M01;Statsgæld - I alt;513.500
2004M02;Statsgæld - I alt;512.200
2004M03;Statsgæld - I alt;498.400
2004M04;Statsgæld - I alt;507.300
2004M05;Statsgæld - I alt;501.200
2004M06;Statsgæld - I alt;501.100
2004M07;Statsgæld - I alt;519.900
